sudo dtruss -a ./test_pipe 10m 
	PID/THRD  RELATIVE  ELAPSD    CPU SYSCALL(args) 		 = return
 1769/0x8e0c:       133:      0:     0 fork()		 = 0 0
 1769/0x8e0c:       143      37      9 munmap(0x10085C000, 0x8C000)		 = 0 0
 1769/0x8e0c:       145       3      2 munmap(0x1008E8000, 0x8000)		 = 0 0
 1769/0x8e0c:       147       2      1 munmap(0x1008F0000, 0x4000)		 = 0 0
 1769/0x8e0c:       149       2      1 munmap(0x1008F4000, 0x4000)		 = 0 0
 1769/0x8e0c:       151       2      1 munmap(0x1008F8000, 0x50000)		 = 0 0
 1769/0x8e0c:       165       1      0 crossarch_trap(0x0, 0x0, 0x0)		 = -1 Err#45
 1769/0x8e0c:       198      32     31 open(".\0", 0x100000, 0x0)		 = 3 0
 1769/0x8e0c:       201       3      1 fcntl(0x3, 0x32, 0x16F627328)		 = 0 0
 1769/0x8e0c:       203      29      1 close(0x3)		 = 0 0
 1769/0x8e0c:       209       5      4 fsgetpath(0x16F627338, 0x400, 0x16F627318)		 = 60 0
 1769/0x8e0c:       222      13     12 fsgetpath(0x16F627348, 0x400, 0x16F627328)		 = 14 0
 1769/0x8e0c:       228       1      0 csrctl(0x0, 0x16F62774C, 0x4)		 = -1 Err#1
 1769/0x8e0c:       232       4      3 __mac_syscall(0x18A245ACF, 0x2, 0x16F627690)		 = 0 0
 1769/0x8e0c:       233       0      0 csrctl(0x0, 0x16F62773C, 0x4)		 = -1 Err#1
 1769/0x8e0c:       236       2      2 __mac_syscall(0x18A242902, 0x5A, 0x16F6276D0)		 = 0 0
 1769/0x8e0c:       250       8      6 sysctl([unknown, 3, 0, 0, 0, 0] (2), 0x16F626C58, 0x16F626C50, 0x18A244553, 0xD)		 = 0 0
 1769/0x8e0c:       252       2      1 sysctl([CTL_KERN, 140, 0, 0, 0, 0] (2), 0x16F626D08, 0x16F626D00, 0x0, 0x0)		 = 0 0
Parent (1770): Time to write 10485760 bytes 2715708 nanoseconds
Child  (1769): Time to read 10485760 bytes 2900042 nanoseconds
 1769/0x8e0c:       261       6      6 open("/\0", 0x20100000, 0x0)		 = 3 0
