sudo dtruss -a ./test_pipe
	PID/THRD  RELATIVE  ELAPSD    CPU SYSCALL(args) 		 = return
 1745/0x88c0:       118:      0:     0 fork()		 = 0 0
 1745/0x88c0:       125      34      7 munmap(0x10258C000, 0x8C000)		 = 0 0
 1745/0x88c0:       128       3      2 munmap(0x102618000, 0x8000)		 = 0 0
 1745/0x88c0:       130       2      1 munmap(0x102620000, 0x4000)		 = 0 0
 1745/0x88c0:       132       2      1 munmap(0x102624000, 0x4000)		 = 0 0
 1745/0x88c0:       133       1      1 munmap(0x102628000, 0x50000)		 = 0 0
 1745/0x88c0:       149       1      0 crossarch_trap(0x0, 0x0, 0x0)		 = -1 Err#45
 1745/0x88c0:       178      28     27 open(".\0", 0x100000, 0x0)		 = 3 0
 1745/0x88c0:       181       3      2 fcntl(0x3, 0x32, 0x16DB07338)		 = 0 0
 1745/0x88c0:       183       2      1 close(0x3)		 = 0 0
 1745/0x88c0:       191      34      6 fsgetpath(0x16DB07348, 0x400, 0x16DB07328)		 = 60 0
 1745/0x88c0:       203      12     11 fsgetpath(0x16DB07358, 0x400, 0x16DB07338)		 = 14 0
 1745/0x88c0:       209       1      0 csrctl(0x0, 0x16DB0775C, 0x4)		 = -1 Err#1
 1745/0x88c0:       212       4      2 __mac_syscall(0x18A245ACF, 0x2, 0x16DB076A0)		 = 0 0
 1745/0x88c0:       213       0      0 csrctl(0x0, 0x16DB0774C, 0x4)		 = -1 Err#1
 1745/0x88c0:       216       2      2 __mac_syscall(0x18A242902, 0x5A, 0x16DB076E0)		 = 0 0
 1745/0x88c0:       229       7      5 sysctl([unknown, 3, 0, 0, 0, 0] (2), 0x16DB06C68, 0x16DB06C60, 0x18A244553, 0xD)		 = 0 0
Parent (1746): Time to write 4 bytes 9042 nanoseconds
Child  (1745): Time to read 4 bytes 226667 nanoseconds
 1745/0x88c0:       231       2      1 sysctl([CTL_KERN, 140, 0, 0, 0, 0] (2), 0x16DB06D18, 0x16DB06D10, 0x0, 0x0)		 = 0 0
 1745/0x88c0:       238       5      4 open("/\0", 0x20100000, 0x0)		 = 3 0
 1745/0x88c0:       254      17     15 openat(0x3, "System/Cryptexes/OS\0", 0x100000, 0x0)		 = 4 0
 1745/0x88c0:       256       1      0 dup(0x4, 0x0, 0x0)		 = 5 0
 1745/0x88c0:       261       6      5 fstatat64(0x4, 0x16DB067F1, 0x16DB06760)		 = 0 0
 1745/0x88c0:       267       6      4 openat(0x4, "System/Library/dyld/\0", 0x100000, 0x0)		 = 6 0
 1745/0x88c0:       269       2      1 fcntl(0x6, 0x32, 0x16DB067F0)		 = 0 0
 1745/0x88c0:       269       0      0 dup(0x6, 0x0, 0x0)		 = 7 0
 1745/0x88c0:       270       0      0 dup(0x5, 0x0, 0x0)		 = 8 0
 1745/0x88c0:       271       1      0 close(0x3)		 = 0 0
 1745/0x88c0:       271       0      0 close(0x5)		 = 0 0
 1745/0x88c0:       272       0      0 close(0x4)		 = 0 0
 1745/0x88c0:       272       0      0 close(0x6)		 = 0 0
 1745/0x88c0:       274       2      1 __mac_syscall(0x18A245ACF, 0x2, 0x16DB071E0)		 = 0 0
 1745/0x88c0:       276       3      1 shared_region_check_np(0x16DB06E00, 0x0, 0x0)		 = 0 0
 1745/0x88c0:       280       3      2 fsgetpath(0x16DB07360, 0x400, 0x16DB072A8)		 = 82 0
 1745/0x88c0:       282       1      0 fcntl(0x8, 0x32, 0x16DB07360)		 = 0 0
 1745/0x88c0:       283       0      0 close(0x8)		 = 0 0
 1745/0x88c0:       283       0      0 close(0x7)		 = 0 0
 1745/0x88c0:       289       3      2 getfsstat64(0x0, 0x0, 0x2)		 = 10 0
 1745/0x88c0:       296       7      6 getfsstat64(0x10270EAA0, 0x54B0, 0x2)		 = 10 0
 1745/0x88c0:       302       6      4 getattrlist("/\0", 0x16DB07290, 0x16DB07200)		 = 0 0
