sudo dtruss -a ./test_pipe 512k  
	PID/THRD  RELATIVE  ELAPSD    CPU SYSCALL(args) 		 = return
 1762/0x8c5c:       116:      0:     0 fork()		 = 0 0
 1762/0x8c5c:       124      35      7 munmap(0x1004B4000, 0x8C000)		 = 0 0
 1762/0x8c5c:       126       3      2 munmap(0x100540000, 0x8000)		 = 0 0
 1762/0x8c5c:       128       2      1 munmap(0x100548000, 0x4000)		 = 0 0
 1762/0x8c5c:       130       2      1 munmap(0x10054C000, 0x4000)		 = 0 0
 1762/0x8c5c:       132       2      1 munmap(0x100550000, 0x50000)		 = 0 0
 1762/0x8c5c:       145      28      0 crossarch_trap(0x0, 0x0, 0x0)		 = -1 Err#45
 1762/0x8c5c:       174      28     27 open(".\0", 0x100000, 0x0)		 = 3 0
 1762/0x8c5c:       176       2      1 fcntl(0x3, 0x32, 0x16F96F318)		 = 0 0
 1762/0x8c5c:       181       5      4 close(0x3)		 = 0 0
 1762/0x8c5c:       186       5      4 fsgetpath(0x16F96F328, 0x400, 0x16F96F308)		 = 60 0
 1762/0x8c5c:       200      14     13 fsgetpath(0x16F96F338, 0x400, 0x16F96F318)		 = 14 0
 1762/0x8c5c:       207       1      0 csrctl(0x0, 0x16F96F73C, 0x4)		 = -1 Err#1
 1762/0x8c5c:       211       4      3 __mac_syscall(0x18A245ACF, 0x2, 0x16F96F680)		 = 0 0
 1762/0x8c5c:       212       0      0 csrctl(0x0, 0x16F96F72C, 0x4)		 = -1 Err#1
 1762/0x8c5c:       215       3      2 __mac_syscall(0x18A242902, 0x5A, 0x16F96F6C0)		 = 0 0
 1762/0x8c5c:       229       7      5 sysctl([unknown, 3, 0, 0, 0, 0] (2), 0x16F96EC48, 0x16F96EC40, 0x18A244553, 0xD)		 = 0 0
 1762/0x8c5c:       230       2      1 sysctl([CTL_KERN, 140, 0, 0, 0, 0] (2), 0x16F96ECF8, 0x16F96ECF0, 0x0, 0x0)		 = 0 0
Parent (1763): Time to write 524288 bytes 181583 nanoseconds
Child  (1762): Time to read 524288 bytes 383208 nanoseconds
 1762/0x8c5c:       239       6      5 open("/\0", 0x20100000, 0x0)		 = 3 0
 1762/0x8c5c:       255      16     14 openat(0x3, "System/Cryptexes/OS\0", 0x100000, 0x0)		 = 4 0
 1762/0x8c5c:       256       1      0 dup(0x4, 0x0, 0x0)		 = 5 0
 1762/0x8c5c:       262       6      5 fstatat64(0x4, 0x16F96E7D1, 0x16F96E740)		 = 0 0
 1762/0x8c5c:       267       5      4 openat(0x4, "System/Library/dyld/\0", 0x100000, 0x0)		 = 6 0
 1762/0x8c5c:       268       1      0 fcntl(0x6, 0x32, 0x16F96E7D0)		 = 0 0
 1762/0x8c5c:       269       0      0 dup(0x6, 0x0, 0x0)		 = 7 0
 1762/0x8c5c:       270       0      0 dup(0x5, 0x0, 0x0)		 = 8 0
 1762/0x8c5c:       271       1      0 close(0x3)		 = 0 0
 1762/0x8c5c:       271       0      0 close(0x5)		 = 0 0
 1762/0x8c5c:       272       0      0 close(0x4)		 = 0 0
 1762/0x8c5c:       272       0      0 close(0x6)		 = 0 0
 1762/0x8c5c:       274       2      1 __mac_syscall(0x18A245ACF, 0x2, 0x16F96F1C0)		 = 0 0
 1762/0x8c5c:       276       2      1 shared_region_check_np(0x16F96EDE0, 0x0, 0x0)		 = 0 0
 1762/0x8c5c:       280       3      2 fsgetpath(0x16F96F340, 0x400, 0x16F96F288)		 = 82 0
 1762/0x8c5c:       282       1      0 fcntl(0x8, 0x32, 0x16F96F340)		 = 0 0
 1762/0x8c5c:       283       1      0 close(0x8)		 = 0 0
 1762/0x8c5c:       283       0      0 close(0x7)		 = 0 0
 1762/0x8c5c:       294       7      5 getfsstat64(0x0, 0x0, 0x2)		 = 10 0
 1762/0x8c5c:       302       8      7 getfsstat64(0x1008A6AA0, 0x54B0, 0x2)		 = 10 0
 1762/0x8c5c:       307       6      4 getattrlist("/\0", 0x16F96F270, 0x16F96F1E0)		 = 0 0
 1762/0x8c5c:       320       8      7 stat64("/System/Volumes/Preboot/Cryptexes/OS/System/Library/dyld/dyld_shared_cache_arm64e\0", 0x16F96F5D0, 0x0)		 = 0 0
dtrace: error on enabled probe ID 1690 (ID 845: syscall::stat64:return): invalid address (0x0) in action #12 at DIF offset 12
 1762/0x8c5c:       366       4      3 stat64("/Users/cole/Desktop/school/UWM_Fall_2025/warmup-2/test_pipe\0", 0x16F96EA80, 0x0)		 = 0 0
 1762/0x8c5c:       379      12     12 open("/Users/cole/Desktop/school/UWM_Fall_2025/warmup-2/test_pipe\0", 0x0, 0x0)		 = 3 0
 1762/0x8c5c:       386       8      7 mmap(0x0, 0xB698, 0x1, 0x40002, 0x3, 0x0)		 = 0x1008E8000 0
 1762/0x8c5c:       387       1      0 fcntl(0x3, 0x32, 0x16F96EB98)		 = 0 0
 1762/0x8c5c:       388       0      0 close(0x3)		 = 0 0
 1762/0x8c5c:       390       2      0 munmap(0x1008E8000, 0xB698)		 = 0 0
 1762/0x8c5c:       392       2      1 stat64("/Users/cole/Desktop/school/UWM_Fall_2025/warmup-2/test_pipe\0", 0x16F96EFF0, 0x0)		 = 0 0
