ITER          RGET          MGET           TOD          SYSC          STDC          MACH
   0    5000967000    5005151000    5003912000    5002406000    5005063958    5000164000
   1    5005146000    5005162000    5005100000    5005126000    5002681042    5001092417
   2    5005166000    5001549000    5005112000    5002381000    5005064542    5005044542
   3    5000641000    5005151000    5005104000    5005104000    5005047459    5005030084
   4    5004257000    5001739000    5005113000    5003587000    5001817791    5005039834
   5    5005170000    5002617000    5005103000    5004797000    5000324167    5005040333
   6    5005170000    5005152000    5002788000    5005104000    5005044250    5005050917
   7    5001178000    5003494000    5005118000    5005103000    5005043541    5000785250
   8    5004258000    5004894000    5000132000    5005129000    5005053042    5004281208
   9    5005159000    5005168000    5005105000    5004121000    5005045750    5001209541
  10    5005152000    5004694000    5005119000    5005104000    5005056500    5002537416
  11    5002454000    5002265000    5002643000    5005120000    5005068958    5005064417
  12    5005146000    5005182000    5005108000    5005125000    5000478791    5005056209
  13    5005162000    5003212000    5001203000    5001540000    5002097875    5004505292
  14    5003790000    5005151000    5003549000    5005106000    5005044500    5005067375
  15    5003942000    5003455000    5005126000    5005041000    5005047750    5005071209
  16    5005168000    5005137000    5005108000    5005132000    5001317958    5005051375
  17    5005166000    5002120000    5002439000    5005107000    5003234792    5000553583
  18    5005151000    5002591000    5004595000    5005112000    5004004750    5005051833
  19    5000519000    5005148000    5005113000    5005128000    5003348875    5005077250
  20    5005142000    5002185000    5005127000    5005133000    5004241792    5005069958
  21    5005147000    5004520000    5005107000    5005117000    5003687875    5005066000
  22    5005146000    5005145000    5003465000    5000665000    5005047000    5005075375
  23    5001602000    5005147000    5005172000    5002806000    5005049792    5005071959
  24    5001096000    5001026000    5003621000    5004125000    5005045625    5005042917
  25    5004025000    5001030000    5004983000    5005155000    5005050083    5004292625
  26    5005143000    5005153000    5005115000    5004778000    5000611000    5005046208
  27    5005139000    5005132000    5005099000    5005105000    5005042292    5004168541
  28    5002715000    5005137000    5005129000    5004346000    5005048250    5001065000
  29    5005149000    5005135000    5004907000    5000962000    5005053500    5005048917
  30    5005166000    5005183000    5005098000    5001099000    5003894042    5005039667
  31    5004605000    5005145000    5005116000    5005115000    5005045333    5004581083
  32    5003170000    5005154000    5005108000    5005118000    5005040625    5001486125
  33    5005142000    5002290000    5005105000    5002294000    5003322958    5003104125
  34    5005157000    5001799000    5004284000    5005138000    5000500792    5005043250
  35    5003569000    5005160000    5005113000    5005115000    5000750291    5000456541
  36    5001088000    5000808000    5005112000    5001477000    5005041792    5000160917
  37    5005142000    5004153000    5005112000    5002335000    5005046167    5005044292
  38    5005148000    5001128000    5003088000    5005105000    5005043209    5005058334
  39    5005142000    5002113000    5003069000    5005112000    5005043333    5000221834
  40    5005145000    5005153000    5004596000    5005098000    5005041791    5004843750
  41    5005146000    5003155000    5005100000    5004453000    5005057000    5005047916
  42    5005173000    5005147000    5003733000    5005134000    5005054458    5005038583
  43    5003093000    5003870000    5005102000    5002244000    5002630375    5005047542
  44    5005149000    5003980000    5001570000    5000392000    5005070583    5003045125
  45    5000527000    5005156000    5000646000    5000518000    5005070125    5005042875
  46    5005152000    5004454000    5005121000    5003319000    5005046167    5005041750
  47    5005169000    5001092000    5005107000    5005118000    5001584125    5004214375
  48    5005140000    5005143000    5002428000    5005135000    5002389084    5005046167
  49    5003870000    5005143000    5005115000    5005105000    5000277625    5005067917
  50    5003598000    5004555000    5005105000    5000805000    5005048875    5005047000
  51    5005172000    5001187000    5005108000    5005142000    5002691792    5005038791
  52    5001127000    5005142000    5005097000    5005128000    5005072250    5005040042
  53    5005137000    5003885000    5005105000    5005106000    5005044833    5000102709
  54    5005139000    5005145000    5005102000    5005103000    5002019667    5005066292
  55    5004272000    5002914000    5005106000    5005127000    5005044666    5002877125
  56    5005146000    5005178000    5005125000    5005111000    5000279625    5001080500
  57    5001519000    5005145000    5005114000    5000959000    5005071458    5000251708
  58    5005168000    5005148000    5005113000    5000953000    5001111625    5002870750
  59    5001500000    5000260000    5005113000    5005104000    5005058542    5000613709
  60    5005149000    5001314000    5005111000    5005125000    5000871667    5005043000
  61    5001385000    5005182000    5005103000    5005102000    5005045375    5000771750
  62    5005139000    5002329000    5005110000    5002493000    5002332084    5005044500
  63    5005158000    5003396000    5005111000    5005106000    5005052375    5005061083
  64    5000226000    5005158000    5003584000    5005104000    5005053917    5005045833
  65    5005181000    5003484000    5000271000    5000847000    5003164125    5000123417
  66    5002663000    5005154000    5005142000    5004258000    5001487000    5005042041
  67    5005155000    5000715000    5005105000    5005106000    5005040167    5002734250
  68    5005180000    5005157000    5005124000    5005109000    5001196583    5001460959
  69    5005148000    4997372000    5001711000    5003999000    5000518500    5005046375
  70    5005191000    4997909000    5004447000    5002608000    5005057375    5000694292
  71    5005179000    4999895000    5000520000    5000898000    5005077959    5001252000
  72    5004596000    5001360000    5005104000    5005120000    5002779000    5003944000
  73    5002247000    4999466000    5005111000    5004460000    5002185542    5005051833
  74    5005146000    4998720000    5000886000    5005099000    5005046625    5005032917
  75    5005169000    5003674000    5005129000    5004763000    5005079666    5001770125
  76    5005170000    5004069000    5005108000    5005087000    5003341125    5005046125
  77    5005147000    5004358000    5003065000    5003458000    5003888959    5000948042
  78    5005156000    5002607000    5005107000    5005132000    5000947166    5002953584
  79    5001972000    5002984000    5005105000    5005115000    5005036958    5005043000
  80    5000663000    5004844000    5005106000    5004155000    5005043750    5005059042
  81    5005156000    5004900000    5005109000    5005097000    5005042167    5002933292
  82    5000572000    5000850000    5005100000    5005104000    5005074458    5002295000
  83    5005144000    5000924000    5005116000    5000135000    5005042333    5005034166
  84    5001349000    5005031000    5000357000    5005112000    5005062958    5005051458
  85    5005178000    5005059000    5000130000    5005107000    5002790166    5005060083
  86    5005151000    5001066000    5004114000    5005126000    5005056375    5005042500
  87    5005147000    5005069000    5001627000    5005114000    5005045541    5005047917
  88    5004660000    5002525000    5005099000    5005123000    5005062916    5005040333
  89    5005146000    5004375000    5005108000    5001115000    5005049333    5005031333
  90    5001288000    5005108000    5005107000    4993017000    5002110584    5005050791
  91    5001078000    5005086000    5005116000    4991509000    5005044250    5005044000
  92    5005155000    5000650000    5005106000    4998741000    5005060334    5005049375
  93    5005168000    5005998000    5001545000    5000482000    5001768416    5004537791
  94    5004033000    5005772000    5005100000    5001747000    5002373375    5000339959
  95    5005171000    5003468000    5005135000    5002656000    5000366625    5005042666
  96    5005145000    5001979000    5005121000    4999202000    5005037791    5003560084
  97    5005177000    5005098000    5000797000    5003793000    5003514417    5005044042
  98    5003159000    5000934000    5002113000    5001329000    5005066375    5000426750
  99    5005146000    5005104000    5005116000    5004387000    5001050167    5005043375

AVG:    5004077800    5003505700    5004242020    5003635670    5003790212    5003781854
